Autovetture distinte per regione alimentazione e fascia di cilindrata Anno 2021,,,,,,,,,,,,
REGIONE,ALIMENTAZIONE,FASCIA,EURO 0,EURO 1,EURO 2,EURO 3,EURO 4,EURO 5,EURO 6,Non contemplato,Non identificato,TOTALE
CALABRIA,METANO Totale,,16,6,12,5,45,236,900,,,1220
CALABRIA,ALTRE,Fino a 1400,11,,,,,,,,,11
CALABRIA,,1401 - 2000,1,,,,,,,,,1
CALABRIA,ALTRE Totale,,12,,,,,,,,,12
CALABRIA,NON DEFINITO,Fino a 1400,9,,,1,,,,,7,17
CALABRIA,,1401 - 2000,7,,1,,,,,,2,10
CALABRIA,,Non definito,15,,,,,,,,3,18
CALABRIA,NON DEFINITO Totale,,31,,1,1,,,,,12,45
CALABRIA Totale,,,196561,57155,150403,180280,330837,174889,237001,923,1346,1329395
PUGLIA,BENZINA,Fino a 1400,157528,31854,116606,114704,193701,66096,99956,,1355,781800
PUGLIA,,1401 - 2000,27975,10639,17922,7560,11162,2850,4473,,166,82747
PUGLIA,,Oltre 2000,3878,1075,1551,968,2028,461,971,,12,10944
PUGLIA,,Non definito,43,,,,,,,,5,48
PUGLIA,BENZINA Totale,,189424,43568,136079,123232,206891,69407,105400,,1538,875539
PUGLIA,BENZINA E GAS LIQUIDO,Fino a 1400,6244,1089,3757,4284,44438,22775,40323,,11,122921
PUGLIA,,1401 - 2000,7561,2665,3788,1678,5534,3264,3547,,8,28045
PUGLIA,,Oltre 2000,431,146,230,180,438,16,4,,,1445
PUGLIA,,Non definito,4,,,2,1,,,,,7
PUGLIA,BENZINA E GAS LIQUIDO Totale,,14240,3900,7775,6144,50411,26055,43874,,19,152418
PUGLIA,BENZINA E METANO,Fino a 1400,862,313,1277,1387,15900,18339,11950,,3,50031
PUGLIA,,1401 - 2000,857,559,1410,1882,4465,57,61,,,9291
PUGLIA,,Oltre 2000,70,27,54,43,189,26,,,,409
PUGLIA,BENZINA E METANO Totale,,1789,899,2741,3312,20554,18422,12011,,3,59731
PUGLIA,ELETTRICITA,Non contemplato,,,,,,,,2285,,2285
PUGLIA,ELETTRICITA Totale,,,,,,,,,2285,,2285
PUGLIA,GASOLIO,Fino a 1400,8563,513,533,41769,187950,73920,36279,,2,349529
PUGLIA,,1401 - 2000,25432,10282,52086,140710,216283,185255,220525,,15,850588
PUGLIA,,Oltre 2000,16709,5049,12671,21387,21999,13777,17332,,17,108941
PUGLIA,,Non definito,1,,1,,,,,,1,3
PUGLIA,GASOLIO Totale,,50705,15844,65291,203866,426232,272952,274136,,35,1309061
PUGLIA,IBRIDO BENZINA,Fino a 1400,,,,,6,83,13123,,,13212
PUGLIA,,1401 - 2000,,,,,43,600,8253,,,8896
PUGLIA,,Oltre 2000,,,,1,26,26,1420,,,1473
PUGLIA,IBRIDO BENZINA Totale,,,,,1,75,709,22796,,,23581
